Categoria,Marca,Modelo,Versão,Motor,"Tipo de
Propulsão","Manual (M)
Automática (A)
Automática Dupla Embreagem (DCT)
Automatizada (MTA)
Contínua
(CVT)",Ar Cond.,"Hidráulica (H)
Mecânica (M)
Elétrica (E)
Eletro- hidráulica (E-H)","Elétrico Puro (E)
Gasolina (G)
Flex (F)
Diesel (D)","NMOG+NOx
(mg/km)","CO
(mg/km)","CHO
(mg/km)",Redução Relativa ao  Limite,"CO2
fóssil (g/km)","CO2
fóssil (g/km)","CO2e
fóssil (g/km)",Cidade (km/l),Estrada (km/l),Cidade (km/l),Estrada (km/l),Cidade (km/l e),Estrada (km/l e),Consumo Energético (MJ/km),"Autonomia no modo Elétrico (km)
Norma SAE J1634","Comparação Relativa
na Categoria",Comparação Absoluta Geral,"Selo CONPET
de Eficiência Energética"
Médio,Renault,Logan,ZEN16CVT,1.6 - 16V,Combustão,CVT,S,E-H,F,41,223,4,B,0,119,\,7.4,8.5,10.7,12.2,\,\,1.92,\,D,C,-
Médio,Renault,Logan,LIFE,1.0-12V,Combustão,M-5,S,E-H,F,50,255,2,B,0,95,\,9.6,9.8,13.6,14.4,\,\,1.53,\,A,B,SIM
Médio,Renault,Logan,ZEN,1.0-12V,Combustão,M-5,S,E-H,F,50,255,2,B,0,95,\,9.6,9.8,13.6,14.4,\,\,1.53,\,A,B,SIM
Médio,Renault,Zoe,Life,Elétrico,Elétrico,A,S,E,E,ND,ND,ND,A,\,\,\,\,\,\,\,34.4,27.4,0.66,254,A,A,-
Médio,Renault,Zoe,Intense,Elétrico,Elétrico,A,S,E,E,ND,ND,ND,A,\,\,\,\,\,\,\,34.4,27.4,0.66,254,A,A,-
Médio,TOYOTA,YARIS HATCHBACK,XS,1.5 - 16V,Combustão,CVT,S,E,F,35,337,2,B,0,103,\,8.7,9.8,12.2,13.9,\,\,1.65,\,B,B,-
Médio,TOYOTA,YARIS HATCHBACK,XL,1.5 - 16V,Combustão,CVT,S,E,F,35,337,2,B,0,103,\,8.7,9.8,12.2,13.9,\,\,1.65,\,B,B,-
Médio,TOYOTA,YARIS HATCHBACK,XLS,1.5 - 16V,Combustão,CVT,S,E,F,35,337,2,B,0,103,\,8.7,9.8,12.2,13.9,\,\,1.65,\,B,B,-
Médio,TOYOTA,YARIS SEDÃ,XS,1.5 - 16V,Combustão,CVT,S,E,F,33,304,2,B,0,97,\,8.9,10.5,12.9,14.7,\,\,1.56,\,B,B,-
Médio,TOYOTA,YARIS SEDÃ,XL,1.5 - 16V,Combustão,CVT,S,E,F,33,304,2,B,1,97,\,8.9,10.5,12.9,14.7,\,\,1.56,\,B,B,-
Médio,TOYOTA,YARIS SEDÃ,XLS,1.5 - 16V,Combustão,CVT,S,E,F,33,304,2,B,2,97,\,8.9,10.5,12.9,14.7,\,\,1.56,\,B,B,-
Médio,VW,T CROSS,SENSE 200 TSI AUTOMATICO,1.0-12V,Combustão,A - 6,S,E,F,49,211,3,B,0,102,\,8.3,10.0,12.0,14.4,\,\,1.66,\,B,B,-
